2020-11-29T12:22:22.299Z: info - web-server starting up...
2020-11-29T12:22:22.300Z: info - Configuration provided is: {
  "host": "localhost",
  "port": 8080,
  "root": "../../../website/public",
  "defaultPage": "index.html"
}
2020-11-29T12:22:22.306Z: info - Server running on: localhost:8080
2020-11-29T12:22:39.058Z: info - Request: GET /
2020-11-29T12:22:39.058Z: debug - Adding default page value 'index.html' to url '/'
2020-11-29T12:22:39.060Z: info - Serving file '../../../website/public/index.html'...
2020-11-29T12:22:39.133Z: info - Request: GET /book.min.f8520695a602b532b093067e25561bfe6fa10ca8c25171b97142acf58fa8f13c.css
2020-11-29T12:22:39.134Z: info - Serving file '../../../website/public/book.min.f8520695a602b532b093067e25561bfe6fa10ca8c25171b97142acf58fa8f13c.css'...
2020-11-29T12:22:39.141Z: info - Request: GET /en.search.min.1f83b222e24a227c0f5763727cb9e4f3b435f08b936f6ce529c9c9359f6b61a8.js
2020-11-29T12:22:39.142Z: info - Serving file '../../../website/public/en.search.min.1f83b222e24a227c0f5763727cb9e4f3b435f08b936f6ce529c9c9359f6b61a8.js'...
2020-11-29T12:22:39.194Z: info - Request: GET /svg/menu.svg
2020-11-29T12:22:39.195Z: info - Serving file '../../../website/public/svg/menu.svg'...
2020-11-29T12:22:39.197Z: info - Request: GET /svg/calendar.svg
2020-11-29T12:22:39.197Z: info - Request: GET /svg/edit.svg
2020-11-29T12:22:39.198Z: info - Serving file '../../../website/public/svg/edit.svg'...
2020-11-29T12:22:39.198Z: info - Serving file '../../../website/public/svg/edit.svg'...
2020-11-29T12:22:39.399Z: info - Request: GET /favicon.png
2020-11-29T12:22:39.400Z: info - Serving file '../../../website/public/favicon.png'...
2020-11-29T12:22:42.464Z: info - Request: GET /docs/0-introduction/
2020-11-29T12:22:42.464Z: debug - Adding default page value 'index.html' to url '/docs/0-introduction/'
2020-11-29T12:22:42.467Z: info - Serving file '../../../website/public/docs/0-introduction/index.html'...
2020-11-29T12:22:42.497Z: info - Request: GET /book.min.f8520695a602b532b093067e25561bfe6fa10ca8c25171b97142acf58fa8f13c.css
2020-11-29T12:22:42.498Z: info - Serving file '../../../website/public/book.min.f8520695a602b532b093067e25561bfe6fa10ca8c25171b97142acf58fa8f13c.css'...
2020-11-29T12:22:42.498Z: info - Request: GET /en.search.min.1f83b222e24a227c0f5763727cb9e4f3b435f08b936f6ce529c9c9359f6b61a8.js
2020-11-29T12:22:42.499Z: info - Serving file '../../../website/public/en.search.min.1f83b222e24a227c0f5763727cb9e4f3b435f08b936f6ce529c9c9359f6b61a8.js'...
2020-11-29T12:22:42.522Z: info - Request: GET /svg/menu.svg
2020-11-29T12:22:42.522Z: info - Serving file '../../../website/public/svg/menu.svg'...
2020-11-29T12:22:42.523Z: info - Request: GET /docs/0-introduction/images/the-shell.png
2020-11-29T12:22:42.524Z: info - Request: GET /svg/calendar.svg
2020-11-29T12:22:42.525Z: info - Serving file '../../../website/public/svg/calendar.svg'...
2020-11-29T12:22:42.525Z: info - Request: GET /svg/edit.svg
2020-11-29T12:22:42.526Z: info - Serving file '../../../website/public/svg/edit.svg'...
2020-11-29T12:22:42.527Z: info - Serving file '../../../website/public/svg/edit.svg'...
2020-11-29T12:22:42.555Z: info - Request: GET /fonts/roboto-mono-v6-latin-regular.woff2
2020-11-29T12:22:42.556Z: info - Request: GET /fonts/roboto-v19-latin-300italic.woff2
2020-11-29T12:22:42.556Z: info - Serving file '../../../website/public/fonts/roboto-v19-latin-300italic.woff2'...
2020-11-29T12:22:42.557Z: info - Serving file '../../../website/public/fonts/roboto-v19-latin-300italic.woff2'...
2020-11-29T12:22:45.129Z: info - Request: GET /docs/1-getting-started/
2020-11-29T12:22:45.129Z: debug - Adding default page value 'index.html' to url '/docs/1-getting-started/'
2020-11-29T12:22:45.132Z: info - Serving file '../../../website/public/docs/1-getting-started/index.html'...
2020-11-29T12:22:45.158Z: info - Request: GET /book.min.f8520695a602b532b093067e25561bfe6fa10ca8c25171b97142acf58fa8f13c.css
2020-11-29T12:22:45.158Z: info - Serving file '../../../website/public/book.min.f8520695a602b532b093067e25561bfe6fa10ca8c25171b97142acf58fa8f13c.css'...
2020-11-29T12:22:45.162Z: info - Request: GET /en.search.min.1f83b222e24a227c0f5763727cb9e4f3b435f08b936f6ce529c9c9359f6b61a8.js
2020-11-29T12:22:45.163Z: info - Serving file '../../../website/public/en.search.min.1f83b222e24a227c0f5763727cb9e4f3b435f08b936f6ce529c9c9359f6b61a8.js'...
2020-11-29T12:22:45.183Z: info - Request: GET /svg/menu.svg
2020-11-29T12:22:45.184Z: info - Serving file '../../../website/public/svg/menu.svg'...
2020-11-29T12:22:45.185Z: info - Request: GET /docs/1-getting-started/images/windows-shell.png
2020-11-29T12:22:45.188Z: info - Request: GET /docs/1-getting-started/images/mac-shell.png
2020-11-29T12:22:45.190Z: info - Request: GET /docs/1-getting-started/images/linux-shell.png
2020-11-29T12:22:45.191Z: info - Serving file '../../../website/public/docs/1-getting-started/images/linux-shell.png'...
2020-11-29T12:22:45.192Z: info - Request: GET /docs/1-getting-started/images/windows-search-command-prompt.png
2020-11-29T12:22:45.193Z: info - Request: GET /docs/1-getting-started/images/windows-shell-whoami.png
2020-11-29T12:22:45.193Z: info - Request: GET /docs/1-getting-started/images/osx-search-terminal.png
2020-11-29T12:22:45.193Z: info - Serving file '../../../website/public/docs/1-getting-started/images/osx-search-terminal.png'...
2020-11-29T12:22:45.196Z: info - Serving file '../../../website/public/docs/1-getting-started/images/osx-search-terminal.png'...
2020-11-29T12:22:45.199Z: info - Serving file '../../../website/public/docs/1-getting-started/images/osx-search-terminal.png'...
2020-11-29T12:22:45.203Z: info - Serving file '../../../website/public/docs/1-getting-started/images/osx-search-terminal.png'...
